state,county,income_mean,poverty_pct,college,female_count,Total_pop,White,Black,Asian,age_median
29.0,177.0,70010.0,14.8,9.9,11468.0,22825.0,21883.0,395.0,38.0,41.8
29.0,189.0,96848.0,9.7,24.8,525074.0,998684.0,682964.0,240312.0,41601.0,40.3
29.0,209.0,65929.0,12.6,13.0,16118.0,31527.0,30378.0,50.0,47.0,53.3
29.0,9.0,56640.0,21.0,10.1,17670.0,35493.0,33210.0,57.0,404.0,43.5
29.0,19.0,73099.0,18.3,25.8,90688.0,176515.0,143130.0,15504.0,7886.0,30.8
29.0,39.0,53359.0,18.5,9.8,6977.0,13938.0,13447.0,6.0,38.0,44.3
29.0,55.0,51626.0,19.5,7.5,12311.0,24280.0,23477.0,70.0,34.0,41.7
29.0,93.0,49709.0,20.9,7.6,5192.0,10221.0,9777.0,124.0,19.0,45.4
29.0,117.0,58725.0,16.4,12.7,8263.0,15076.0,14145.0,409.0,80.0,40.3
29.0,135.0,64887.0,13.2,14.2,7545.0,15958.0,14779.0,601.0,28.0,37.9
29.0,149.0,42088.0,23.9,8.5,5323.0,10699.0,10220.0,16.0,44.0,46.8
29.0,69.0,48090.0,27.1,8.8,15805.0,30428.0,25614.0,2961.0,131.0,39.9
29.0,159.0,58341.0,17.2,11.6,21453.0,42371.0,38606.0,1335.0,193.0,37.9
29.0,186.0,70739.0,14.6,10.9,8892.0,17871.0,17277.0,316.0,102.0,43.4
29.0,175.0,58047.0,15.5,9.7,11843.0,24945.0,22485.0,1471.0,120.0,39.1
29.0,71.0,72171.0,10.8,12.7,51442.0,102781.0,98768.0,698.0,562.0,40.8
29.0,89.0,63071.0,15.0,15.0,5071.0,10113.0,9277.0,531.0,18.0,39.3
29.0,95.0,71871.0,15.2,19.7,357399.0,692003.0,461134.0,163422.0,12844.0,36.7
29.0,131.0,58260.0,17.9,10.5,12735.0,25049.0,24104.0,111.0,108.0,40.8
29.0,169.0,61011.0,14.4,16.5,22566.0,52591.0,39219.0,6480.0,1447.0,27.7
29.0,213.0,53162.0,17.2,12.4,28216.0,54720.0,50445.0,681.0,474.0,42.1
29.0,215.0,49621.0,24.3,9.7,12274.0,25671.0,23880.0,579.0,121.0,42.7
29.0,21.0,63587.0,17.2,13.7,44385.0,89076.0,77914.0,5019.0,918.0,37.4
29.0,25.0,58141.0,14.9,13.5,4464.0,9049.0,8688.0,47.0,46.0,42.6
29.0,27.0,65892.0,11.6,14.5,21966.0,44840.0,41180.0,1932.0,391.0,38.6
29.0,37.0,82359.0,9.8,17.2,52314.0,102678.0,93925.0,3713.0,825.0,39.8
29.0,49.0,69879.0,10.9,14.2,10209.0,20475.0,19489.0,380.0,49.0,40.7
29.0,53.0,60261.0,11.9,14.8,8408.0,17622.0,15691.0,1123.0,47.0,39.0
29.0,59.0,57995.0,15.0,6.9,8287.0,16499.0,15908.0,8.0,67.0,43.5
29.0,75.0,52885.0,17.4,12.2,3447.0,6665.0,6495.0,46.0,39.0,41.5
29.0,85.0,44594.0,17.4,6.3,4817.0,9368.0,9015.0,9.0,8.0,55.0
29.0,113.0,70775.0,12.6,11.0,28037.0,55563.0,52635.0,1061.0,214.0,37.0
29.0,133.0,49232.0,25.0,8.7,6173.0,13748.0,10065.0,3322.0,7.0,40.4
29.0,137.0,57073.0,14.1,8.9,4252.0,8654.0,8195.0,306.0,38.0,45.4
29.0,145.0,68991.0,13.9,13.2,29238.0,58202.0,52821.0,571.0,807.0,39.7
29.0,153.0,42496.0,26.3,6.7,4644.0,9236.0,8884.0,3.0,32.0,51.3
29.0,163.0,60968.0,14.0,12.1,8272.0,18489.0,16469.0,1405.0,59.0,39.1
29.0,183.0,98457.0,5.6,24.1,198344.0,389985.0,350757.0,17172.0,9681.0,38.2
30.0,17.0,70749.0,9.8,15.0,5890.0,11845.0,11123.0,68.0,34.0,40.7
30.0,41.0,59143.0,19.4,18.3,8147.0,16439.0,11593.0,37.0,75.0,34.5
30.0,67.0,67991.0,12.5,22.1,8082.0,16246.0,15600.0,50.0,15.0,46.2
30.0,85.0,59137.0,28.3,12.3,5669.0,11228.0,4105.0,35.0,41.0,30.3
30.0,5.0,48891.0,29.6,16.6,3359.0,6727.0,3049.0,26.0,5.0,33.8
30.0,83.0,79962.0,5.4,13.9,5620.0,11360.0,10618.0,0.0,0.0,38.9
30.0,99.0,66683.0,13.3,16.9,3086.0,6080.0,5759.0,11.0,13.0,44.6
30.0,93.0,58093.0,19.1,17.8,17226.0,34814.0,32810.0,205.0,277.0,39.8
30.0,23.0,56037.0,19.2,13.0,4265.0,9100.0,8452.0,63.0,61.0,48.5
30.0,43.0,81384.0,8.8,24.1,5799.0,11778.0,11154.0,26.0,8.0,47.9
30.0,87.0,66388.0,18.7,13.6,4642.0,9250.0,5435.0,10.0,99.0,36.4
30.0,21.0,75479.0,9.6,15.0,4314.0,9191.0,8709.0,114.0,18.0,40.5
30.0,7.0,77104.0,6.9,19.1,2859.0,5834.0,5606.0,3.0,0.0,46.9
30.0,47.0,61802.0,21.1,18.4,15030.0,29774.0,20007.0,81.0,111.0,42.3
30.0,73.0,64678.0,20.0,18.4,3041.0,6044.0,4959.0,26.0,5.0,40.5
30.0,111.0,79021.0,9.9,21.8,80043.0,157816.0,143165.0,993.0,1008.0,38.2
30.0,81.0,65009.0,14.3,16.3,21080.0,41902.0,40242.0,34.0,234.0,48.8
30.0,105.0,65147.0,9.1,15.5,3802.0,7532.0,6512.0,6.0,30.0,44.4
30.0,27.0,65238.0,13.8,22.1,5591.0,11273.0,10724.0,18.0,117.0,46.0
30.0,89.0,53414.0,19.5,13.3,5586.0,11521.0,10630.0,19.0,59.0,53.2
30.0,29.0,72682.0,11.7,20.2,49259.0,98082.0,92695.0,357.0,624.0,42.1
30.0,9.0,70864.0,10.1,21.1,5229.0,10546.0,10204.0,41.0,21.0,50.3
31.0,1.0,69692.0,13.0,15.5,15636.0,31583.0,29464.0,212.0,420.0,37.4
31.0,109.0,76506.0,13.1,24.7,154395.0,310094.0,267938.0,12499.0,13217.0,33.3
31.0,11.0,72720.0,6.1,14.3,2672.0,5313.0,5229.0,22.0,6.0,44.6
31.0,147.0,61223.0,13.2,12.8,4035.0,8009.0,7538.0,17.0,17.0,48.0
31.0,93.0,63117.0,10.5,15.5,3178.0,6405.0,6179.0,12.0,13.0,43.1
31.0,89.0,69863.0,8.4,15.5,5103.0,10245.0,9961.0,12.0,51.0,43.2
31.0,151.0,61216.0,13.5,9.5,7031.0,14288.0,12617.0,150.0,449.0,35.8
31.0,153.0,94557.0,5.4,25.8,89175.0,178351.0,156868.0,6944.0,4520.0,34.4
31.0,173.0,65158.0,28.3,11.2,3595.0,7140.0,2801.0,19.0,51.0,27.8
31.0,177.0,85616.0,8.1,21.9,10308.0,20219.0,19598.0,233.0,62.0,41.4
31.0,31.0,62766.0,10.5,15.2,2943.0,5790.0,5291.0,1.0,19.0,43.6
31.0,53.0,66065.0,13.7,12.0,18557.0,36683.0,34548.0,336.0,158.0,39.0
31.0,59.0,71692.0,10.0,14.6,2792.0,5574.0,5406.0,31.0,17.0,47.7
31.0,127.0,67073.0,12.4,20.1,3539.0,7004.0,6734.0,105.0,52.0,39.3
31.0,159.0,79392.0,7.5,19.6,8401.0,17127.0,16484.0,82.0,97.0,37.9
31.0,43.0,69285.0,16.6,8.6,10098.0,20317.0,13995.0,954.0,669.0,33.8
31.0,3.0,61882.0,12.6,13.9,3168.0,6372.0,6216.0,48.0,10.0,45.3
31.0,23.0,66899.0,7.5,15.2,4011.0,8067.0,7799.0,36.0,53.0,43.9
31.0,35.0,66150.0,11.4,13.0,3067.0,6232.0,6026.0,4.0,10.0,42.5
31.0,41.0,74937.0,11.2,13.9,5464.0,10830.0,10488.0,25.0,80.0,43.2
31.0,67.0,64384.0,9.8,14.7,10769.0,21595.0,20847.0,160.0,125.0,44.0
31.0,81.0,79739.0,4.9,18.5,4614.0,9178.0,8836.0,48.0,6.0,41.5
31.0,99.0,73274.0,10.6,16.0,3312.0,6552.0,6321.0,8.0,21.0,40.1
31.0,101.0,60511.0,11.7,14.3,3958.0,8099.0,7798.0,70.0,56.0,49.5
31.0,119.0,67302.0,15.8,16.0,17674.0,35164.0,32216.0,521.0,527.0,36.8
31.0,155.0,80020.0,8.4,17.4,10396.0,21024.0,20468.0,64.0,71.0,40.8
31.0,179.0,69233.0,14.2,22.6,4651.0,9367.0,8905.0,166.0,48.0,31.8
31.0,107.0,63301.0,10.9,15.4,4310.0,8460.0,7345.0,23.0,27.0,46.9
31.0,111.0,70858.0,12.2,14.3,17936.0,35433.0,33735.0,484.0,118.0,40.3
31.0,139.0,67962.0,7.3,16.8,3591.0,7157.0,6977.0,17.0,30.0,41.5
31.0,25.0,85237.0,6.4,18.8,12773.0,25702.0,24747.0,153.0,73.0,41.6
31.0,51.0,67106.0,12.5,14.6,2862.0,5746.0,5417.0,16.0,4.0,42.0
31.0,79.0,71073.0,13.0,15.0,30513.0,61343.0,53784.0,1533.0,691.0,36.0
31.0,131.0,70443.0,11.2,15.8,8154.0,15896.0,15046.0,61.0,42.0,41.5
