CAGDP9 Real GDP by county and metropolitan area 1/,,,,,,,,,,,,,
(thousands of chained 2012 dollars) ,,,,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,,,,
Metropolitan Statistical Area,,,,,,,,,,,,,
GeoFips,GeoName,LineCode,Description,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
41620,"Salt Lake City, UT (Metropolitan Statistical Area)",25,      Nondurable goods manufacturing,3368160,3341608,2565767,2915453,3135566,3061781,2975707,3044313,3188921,3235548
41620,"Salt Lake City, UT (Metropolitan Statistical Area)",34,    Wholesale trade,(D),(D),4588008,(D),4823081,4995156,5231779,5393282,5388005,5297005
41620,"Salt Lake City, UT (Metropolitan Statistical Area)",35,    Retail trade,4492916,4684473,5119721,5082506,4934104,5045334,5568242,5854382,6058632,6296076
41620,"Salt Lake City, UT (Metropolitan Statistical Area)",36,    Transportation and warehousing,2800299,2948324,2934574,2993779,3009198,3308094,3517838,3640645,3776060,3934957
41620,"Salt Lake City, UT (Metropolitan Statistical Area)",45,    Information,2507745,2527199,(D),2797711,3019145,3487160,(D),4535152,4882171,5567630
41620,"Salt Lake City, UT (Metropolitan Statistical Area)",50,"    Finance, insurance, real estate, rental, and leasing",13970006,15344040,17005398,16777829,17413520,18266107,18821546,18745119,20322926,20602457
41620,"Salt Lake City, UT (Metropolitan Statistical Area)",51,      Finance and insurance,6814460,7813239,8985734,8548299,8947463,9353148,9079090,8528537,9069315,9170610
41620,"Salt Lake City, UT (Metropolitan Statistical Area)",56,      Real estate and rental and leasing,7139697,7525502,8019664,8235319,8467977,8917645,9821285,10392216,11489282,11677906
41620,"Salt Lake City, UT (Metropolitan Statistical Area)",59,    Professional and business services,7666060,7955879,8514157,9264310,9849774,10008723,10364453,10752157,11581719,12390085
41620,"Salt Lake City, UT (Metropolitan Statistical Area)",60,"      Professional, scientific, and technical services",(D),(D),(D),(D),(D),(D),(D),(D),(D),7519881
